reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
ce0c060d-38a1-4bac-bee1-9555c6f08fdc,Ashley Clark,https://play-lh.googleusercontent.com/a-/AFdZucoFmNce2-ydE3qX0Xe4Fs9CO4ZaIdlsMwUCaBZ-9w,"Generally works great, except every time I open the app it opens on a blank white screen and I have to press the back button to arrive on the home screen. Super weird behaviour that I can't believe hasn't been fixed. Been happening for at least 12 months. Edit: even worse UX now... Impossible to find the Amazon fresh code without doing a search. Also I keep getting an ad for Prime when I open the app, despite already being a Prime member. Surely Amazon should be able to target these popups.",3,2,,2022-06-06 10:27:18,,
65c0acfc-4c07-44eb-a467-a6125ca5b437,Omar Sabik,https://play-lh.googleusercontent.com/a/AItbvml3as2xijTdAZuoT0nmujm29rfBhEmlHvj8xnMg=mo,باد باد لاد,2,0,,2022-06-06 7:42:16,,
92914606-9dfd-4512-9b52-4944272fb070,Tamara Shimmel,https://play-lh.googleusercontent.com/a-/AFdZucoH-j6rze2Lx7H1RXIZRERbKxmXu7HwcEhOfDQp4Is,Amazon Prime is absolutely amazing! Great products. Great prices. Shipped right to your door!,5,0,24.10.2.100,2022-06-06 7:40:46,,
25b29af1-3b76-419c-be22-02d47ad756a0,Natasha TappsRiendeau,https://play-lh.googleusercontent.com/a-/AFdZucqQfEx3QuO4c6J03mkI3cA-xrPePmwn5R_M88lkT0g,Hello I have change my phone number and since just can't connect to.my account . Plus tiping for something in particular and the apps keep showing me anything but not what I ask for .. try to reach customer service when you can't connect or make long distance calls should be easier to reach the customer services on line or by mail Need improvement,2,0,24.11.0.100,2022-06-06 7:39:09,,
4afcec8f-16a8-4231-9123-95617e30f85a,Barbara Cormack,https://play-lh.googleusercontent.com/a-/AFdZucrGoK8lKqSY1kHGdz-y7hzf4B6faRNmsSPglT2M,Outstanding orders? Too difficult to find. Small upgrade to sort on outstanding orders and update marketplace orders that have been delivered would be hugely beneficial.,3,0,24.10.2.100,2022-06-06 5:50:41,,
c4509df8-8678-45f4-ad24-0d9ce3f05be3,Dexter Sami,https://play-lh.googleusercontent.com/a/AItbvmkqDp98ilq4XJCVkXzgq-jQ3AeWfMnlXa6PrHBy=mo,"I like it alot, very easy, i love the variety of items to choose from.",4,0,24.10.2.100,2022-06-06 5:11:50,,
709a5170-6cb1-47c1-9975-842aded670a8,Bonita Foust,https://play-lh.googleusercontent.com/a/AItbvmmD5DUcPciG1FmS2B3yc3L1FpetpTyP-FOvUOo1=mo,"So far, I have been pleased with my Amazon experience. I had ordered a bathing suit and put it aside until I went on vacation. On vacation, I tried to put it on and couldn't get it much past my knees.It is a size XR. I needed and ordered a 2X. I have no idea how to return for either a credit or exchange. Help with this problem is needed. Thank you for your help.",4,1,24.11.0.100,2022-06-06 3:53:12,,
44f27490-51c4-4ae7-a92d-57784dac1597,Boddy Poirier,https://play-lh.googleusercontent.com/a/AItbvmlHogiMGmtfwd3LZ5nh2njSd9UzX3rSqxN1E7KM=mo,"It's Amazon. Easy to use, easy to maintain. I use the mobile version more than the Desktop Version",5,0,24.9.0.100,2022-06-06 3:15:25,,
a564812b-2024-4232-9446-a4f23e6bd0b8,Nicolas Queijo,https://play-lh.googleusercontent.com/a-/AFdZucq9G4JaLcoZcS1v24svh5L5E_hkgKnoYRSj8UdJ218,"Feels sluggish, unresponsive at times, backstack doesn't work as expected. I shop on Amazon through my phone a lot and would like a fully native experience without webviews. Also should add feature to search text like Ctrl + F in browsers so I can easily find keywords in product's descriptions.",1,9,24.11.0.100,2022-06-06 2:50:42,,
fa654ec4-bdfb-4393-bab7-d276d5ebc935,M.D. Simpson,https://play-lh.googleusercontent.com/a-/AFdZucrCvFdnoeDySCB0cZTFW7kd9yJFBfMzAxpDfGT0,The new update is terrible and not very user friendly. Please allow an option to hide or disable the Alexa icon on the bottom right; I keep accidentally tapping it while scrolling.,2,0,24.10.2.100,2022-06-06 1:46:54,,
f1afafa7-dc80-42b9-b4a9-2a7a2e483860,Aldo Infanzon,https://play-lh.googleusercontent.com/a-/AFdZucqsa40le0qUz1Nc2D6ByeheomQs5u1KQ5Yi-s0nE5Q,"It's not terrible but it's time Amazon uses a native app rather than a web view, since the experience feels slow enough",3,0,24.11.0.100,2022-06-06 0:01:23,,
dde05221-491f-470e-bb9f-fde98cd00cc2,Loren Lamere,https://play-lh.googleusercontent.com/a-/AFdZucopPHrqfCZPMtPvPEtu6Gbnv02xx9Z2lys_BofWNw,Sup,5,0,24.11.0.100,2022-06-05 23:49:41,,
b97fa341-dac2-4265-9b07-b633ad143995,Dieann63,https://play-lh.googleusercontent.com/a-/AFdZucpvTgWzoTqLo2kgyLKUhu7GE7uUWVmOXVPfs0Lb-w,"Easy to find great deals, just always read descriptions before ordering so you don't get ripped off by shady sellers",5,0,24.11.0.100,2022-06-05 23:11:37,,
8ee529ec-8e15-4bb5-9a5e-ffc670477c13,Ali Rahman,https://play-lh.googleusercontent.com/a-/AFdZucqmcWqcF1Od4KvLXosbYiakM-yMsVqfl5iDYpOTig,Amazon smile. You can only turn on if your notification turned on. What is that all about. I don't need notification. Just let me donate and use the smaile service. If Amazon really cared about charity they shouldn't need me to turn on my notification to use Amazon smile. Tut tut.,1,0,24.11.0.100,2022-06-05 22:52:39,,
ceb374a7-41c4-4f76-b76c-4fb05bf79e76,Aisha Parveen,https://play-lh.googleusercontent.com/a/AItbvmmMVZH8ALAAeKgVc3q-3uPz9ftzpPBnf-BRu8XS=mo,"I love Amazon! So easy, convinent and most times cheap.. There are so many varieties, you can always find what your looking.. I have been using it for years and will continue to do so. Prime makes the experience much better.",5,5,24.11.0.100,2022-06-05 21:38:19,,
fd5f2ad7-54a6-492f-83db-5808ddbc1366,Amanda Powell,https://play-lh.googleusercontent.com/a-/AFdZucp4k6rXAG_Efol72EE5QzllG_wBFErYjpg-uFJfV9A,Who doesn't love Amazon?! This site offers the most wide range of deals and steals every day at any given time with fast shipping and amazing customer service when help is needed.. easy return process all around with options to credit account or refund to your pmt tender! So happy with being a faithful Amazon customer and Prime member,5,0,24.11.0.100,2022-06-05 20:59:54,,
36007fc3-d43f-41b7-8824-66d83c6c6e94,Chief Chief,https://play-lh.googleusercontent.com/a-/AFdZucp6aOaLXzxo5ZWQzqbOieszByJy0CdhoFZ2xuBXoA,"Slow app. Additionally, previous order data used to load in seconds; now it sits and grinds, fails to load order information most of the time now. Please fix.",1,1,24.11.0.100,2022-06-05 20:07:27,,
4429a68c-bb2b-44e9-9960-e78b1c392476,Dywane,https://play-lh.googleusercontent.com/a/AItbvmnLU66ozTlTNKLLfeDWy7bFXwJTRCmcMRvoPKhD=mo,B oo I'm p uh,4,0,,2022-06-05 19:41:39,,
80376585-6735-4dad-807e-9360f1f77ba1,Peter von Feldt,https://play-lh.googleusercontent.com/a-/AFdZucrYLen4S2DCZ6tiTO0erxu8YWnwPGd4UMuoZI1wTw,"As of 6/5/2022 I am unable to create reviews or answer questions. They refuse to explain anything as to why and keep sending me to my email, when I am already on Amazon, where it can and should be resolved. They apparently have become inept at best. That's what happens when businesses get outsourced to hodji. After my orders are delivered in June, I will no longer be using Amazon or their inept app ever again. Also they only get one star from me. If it could be no stars it would be.",1,9,24.11.0.100,2022-06-05 19:35:21,,
f340fa12-6064-4e4c-9d8d-af56cf8008c4,Michael Zingalie,https://play-lh.googleusercontent.com/a-/AFdZucrSlJ33UUPcQq-WpgT2RSNDemC70SrpEX0P0D_JOA,"Very convenient and easy. some things are over priced which isn't Amazon's fault at all. only thing I would critique Amazon on is occasionally an item will get delivered to the wrong place but the saving grace is they don't say ""you're wrong"" when you say so. So overall I'm very happy with it especially as a recluse",5,1,24.11.0.100,2022-06-05 19:07:13,,
